Question,Answer,Confidence
What causes kidney stones?,,1.0
What is arthritis?,"If you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. Most kinds of arthritis cause pain and swelling in your joints. Joints are places where two bones meet, such as your elbow or knee. Over time, a swollen joint can become severely damaged. Some kinds of arthritis can also cause problems in your organs, such as your eyes or skin.    Types of arthritis include       - Osteoarthritis is the most common type of arthritis. It's often related to aging or to an injury.    - Autoimmune arthritis happens when your body's immune system attacks healthy cells in your body by mistake. Rheumatoid arthritis is the most common form of this kind of arthritis.    - Juvenile arthritis is a type of arthritis that happens in children.    - Infectious arthritis is an infection that has spread from another part of the body to the joint.    - Psoriatic arthritis affects people with psoriasis.    - Gout is a painful type of arthritis that happens when too much uric acid builds up in the body. It often starts in the big toe.       NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",1.0
What are the symptoms of tuberculosis?,"Tuberculosis (TB) is a disease caused by bacteria called Mycobacterium tuberculosis. The bacteria usually attack the lungs, but they can also damage other parts of the body.     TB spreads through the air when a person with TB of the lungs or throat coughs, sneezes, or talks. If you have been exposed, you should go to your doctor for tests. You are more likely to get TB if you have a weak immune system.    Symptoms of TB in the lungs may include       -  A bad cough that lasts 3 weeks or longer    -  Weight loss    -  Loss of appetite    -  Coughing up blood or mucus    -  Weakness or fatigue     -  Fever    -  Night sweats       Skin tests, blood tests, x-rays, and other tests can tell if you have TB. If not treated properly, TB can be deadly. You can usually cure active TB by taking several medicines for a long period of time.    NIH: National Institute of Allergy and Infectious Diseases",0.939
What is obesity?,"Obesity means having too much body fat. It is different from being overweight, which means weighing too much. The weight may come from muscle, bone, fat, and/or body water. Both terms mean that a person's weight is greater than what's considered healthy for his or her height.     Obesity occurs over time when you eat more calories than you use. The balance between calories-in and calories-out differs for each person. Factors that might affect your weight include your genetic makeup, overeating, eating high-fat foods, and not being physically active.     Being obese increases your risk of diabetes, heart disease, stroke, arthritis, and some cancers. If you are obese, losing even 5 to 10 percent of your weight can delay or prevent some of these diseases. For example, that means losing 10 to 20 pounds if you weigh 200 pounds.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases",1.0
What causes migraine?,,1.0
What is hepatitis?,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons. Hepatitis is an inflammation of the liver. One type, hepatitis B, is caused by the hepatitis B virus (HBV). Hepatitis B spreads by contact with an infected person's blood, semen, or other body fluid. An infected woman can give hepatitis B to her baby at birth.    If you get HBV, you may feel as if you have the flu. You may also have jaundice, a yellowing of skin and eyes, dark-colored urine, and pale bowel movements. Some people have no symptoms at all. A blood test can tell if you have it. HBV usually gets better on its own after a few months. If it does not get better, it is called chronic HBV, which lasts a lifetime. Chronic HBV can lead to scarring of the liver, liver failure, or liver cancer.    There is a vaccine for HBV. It requires three shots. All babies should get the vaccine, but older children and adults can get it too. If you travel to countries where Hepatitis B is common, you should get the vaccine.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases",1.0
What is thyroid disease?,"Thyroid disease is a disorder that affects the thyroid gland. Sometimes the body produces too much or too little thyroid hormone. Thyroid hormones regulate metabolismthe way the body uses energyand affect nearly every organ in the body. Too much thyroid hormone is called hyperthyroidism and can cause many of the bodys functions to speed up. Too little thyroid hormone is called hypothyroidism and can cause many of the bodys functions to slow down.
                
Thyroid hormone plays a critical role during pregnancy both in the development of a healthy baby and in maintaining the health of the mother.
                
Women with thyroid problems can have a healthy pregnancy and protect their fetuses health by learning about pregnancys effect on the thyroid, keeping current on their thyroid function testing, and taking the required medications.",0.769
What is cholesterol?,"Summary : Cholesterol is a waxy, fat-like substance that occurs naturally in all parts of the body. Your body needs some cholesterol to work properly. But if you have too much in your blood, it can combine with other substances in the blood and stick to the walls of your arteries. This is called plaque. Plaque can narrow your arteries or even block them.    High levels of cholesterol in the blood can increase your risk of heart disease. Your cholesterol levels tend to rise as you get older. There are usually no signs or symptoms that you have high blood cholesterol, but it can be detected with a blood test. You are likely to have high cholesterol if members of your family have it, if you are overweight or if you eat a lot of fatty foods.    You can lower your cholesterol by exercising more and eating more fruits and vegetables. You also may need to take medicine to lower your cholesterol.    NIH: National Heart, Lung, and Blood Institute",0.891
What is a healthy diet?,,0.631
When should I see a doctor for chest pain?,,0.934
